序号,单词,来源,释义,词源,例句
1870,thermometer,基础词 Unit 1,n. 温度计，体温计,由 thermo（热）+ meter（测量器）组成，意为测量温度的仪器。,"1. The thermometer shows that the temperature is rising.（温度计显示气温正在上升。）
2. Check the thermometer to see if the baby has a fever.（看看温度计，确认婴儿是否发烧。）
3. The mercury in the thermometer expanded with the heat.（温度计里的水银受热膨胀了。）"
1871,thesis,基础词 Unit 1,n. 论文；论题，论点,源自希腊语 thesis（放置、命题），指为了论证而提出的观点或论文。,"1. She is writing her doctoral thesis.（她正在写博士论文。）
2. The main thesis of his book is that technology changes society.（他书中的核心论点是技术改变社会。）
3. He defended his thesis successfully.（他成功通过了论文答辩。）"
1872,thick,基础词 Unit 1,"adj. 厚的，稠的，浓的
adv. 厚厚地，浓浓地，密集地",源自古英语 thicce，意为紧密的、厚的，可联想“厚度”。,"1. The walls of the castle are very thick.（城堡的墙壁非常厚。）
2. A thick fog covered the city.（浓雾笼罩了城市。）
3. He has a thick accent.（他有很重的口音。）"
1873,thigh,基础词 Unit 1,n. 大腿，股,源自古英语 theoh，指大腿部位。,"1. He suffered a muscle strain in his thigh.（他的大腿肌肉拉伤了。）
2. The child sat on his mother's thigh.（孩子坐在母亲的大腿上。）
3. The injury to his thigh kept him out of the game.（大腿的伤势使他无法参加比赛。）"
1874,thorn,基础词 Unit 1,n. 刺，荆棘；使人生气（或苦恼）的事（或人）,源自古英语 thorn，指植物上的刺，引申为棘手的问题。,"1. The rose has sharp thorns.（玫瑰花上有尖刺。）
2. The issue has been a thorn in our side for years.（这个问题多年来一直让我们感到棘手。）
3. He pricked his finger on a thorn.（他的手指被刺扎了一下。）"
1875,thousand,基础词 Unit 1,pron. 一千，一千个,源自古英语 thusend，意为一千。,"1. Thousands of people attended the concert.（成千上万的人参加了音乐会。）
2. The book costs a thousand dollars.（这本书价值一千美元。）
3. He has traveled thousands of miles.（他已经旅行了数千英里。）"
1876,via,基础词 Unit 1,prep. 经，通过,源自拉丁语 via（道路），意为通过、经由。,"1. We flew to London via Paris.（我们经由巴黎飞往伦敦。）
2. I sent the message via email.（我通过电子邮件发送了信息。）
3. The news spread via social media.（新闻通过社交媒体传播开来。）"
1877,viable,基础词 Unit 1,adj. 可实施的，切实可行的；（生物等）能独立生存的，可生长发育的,源自法语 vie（生命），意为有生命力的、可行的。,"1. Is this plan economically viable?（这个计划在经济上可行吗？）
2. The company needs a viable strategy to survive.（公司需要一个可行的策略来生存。）
3. The fetus is considered viable after 24 weeks.（胎儿在24周后被认为具有存活能力。）"
1878,vibrate,基础词 Unit 1,v. （使）振动，（使）摆动；回荡，共鸣,源自拉丁语 vibrare（摇动、震动）。,"1. The whole house began to vibrate when the train passed.（火车经过时，整栋房子开始震动。）
2. My phone is set to vibrate.（我的手机设置成了震动模式。）
3. The strings of the guitar vibrate to produce sound.（吉他弦通过震动发出声音。）"
1879,vicinity,基础词 Unit 1,n. 邻近，附近,源自拉丁语 vicinus（邻近的），指附近、邻近地区。,"1. There are no hotels in the immediate vicinity.（附近没有旅馆。）
2. The school is in the vicinity of the park.（学校在公园附近。）
3. The cost is in the vicinity of 500 dollars.（费用大约在500美元左右。）"
1880,video,基础词 Unit 1,"n. 电视，视频，录像
adj. 电视的，视频的，录像的",源自拉丁语 videre（看），意为“我看见”，现代指视频。,"1. He recorded a video of the event.（他录制了活动的视频。）
2. The video went viral on the internet.（这个视频在网上疯传。）
3. We had a video conference this morning.（我们今天早上开了视频会议。）"
1881,violate,基础词 Unit 1,vt. 违反，违背，违犯；侵犯，打扰,源自拉丁语 violare（强力对待、亵渎），引申为违反、侵犯。,"1. They violated the terms of the contract.（他们违反了合同条款。）
2. The soldiers violated the human rights of the civilians.（士兵们侵犯了平民的人权。）
3. He was arrested for violating the law.（他因违法被捕。）"
1882,shabby,基础词 Unit 2,adj. 低劣的，卑鄙的，下流的；破旧的，衣衫褴褛的,源自古英语 sceabb（疥癣），原指像长了疥癣一样破烂，现指破旧的、卑鄙的。,"1. He wore a shabby coat.（他穿着一件破旧的外套。）
2. The furniture in the room was shabby.（房间里的家具很破旧。）
3. It was a shabby trick to play on her.（那样对待她真是卑鄙的行为。）"
1883,shallow,基础词 Unit 2,"adj. 浅的,浅薄的",源自古英语 sceald，意为浅的，与 shoal（浅滩）同源，可联想“浅水处容易搁浅”。,"1. The water is quite shallow here.（这里的水很浅。）
2. He is a shallow person with no depth of thought.（他是一个肤浅的人，思想没有深度。）
3. The river is shallow enough to wade across.（这条河很浅，可以涉水而过。）"
1884,shame,基础词 Unit 2,"n. 羞耻，羞愧；耻辱，可耻的人(或事)；憾事
vt. 使羞愧，使丢脸",源自古英语 scamu，意为羞耻或遮盖，联想“因羞耻而想遮盖自己”。,"1. He felt a deep sense of shame for his actions.（他为自己的行为感到深深的羞愧。）
2. It is a shame that you missed the concert.（真遗憾你错过了那场音乐会。）
3. She tried to hide her face in shame.（她羞愧地试图遮住脸。）"
1885,shaft,基础词 Unit 2,"n. 轴，杆状物
v. 亏待，欺骗(尤指骗钱)",源自古英语 sceaft，原指长矛或箭杆，引申为轴、杆或垂直通道。,"1. The elevator shaft is under maintenance.（电梯井正在维修中。）
2. A shaft of sunlight came through the window.（一束阳光穿过窗户射入。）
3. The drive shaft connects the engine to the wheels.（传动轴将发动机与车轮连接起来。）"
1886,shake,基础词 Unit 2,"n. 摇动，摇晃
v. 摇动，摇晃；震动，颤抖",源自古英语 scacan，意为摇动、震动，拟声词联想物体晃动发出的声音。,"1. The earthquake made the buildings shake.（地震使建筑物摇晃起来。）
2. He shook hands with the new partner.（他和新合伙人握了手。）
3. She shook her head in disagreement.（她摇摇头表示不同意。）"
1887,shampoo,基础词 Unit 2,"n. 洗发膏，香波
vt. 洗发，洗头",源自印地语 champo，原意为按摩，后引申为洗头用的洗发水。,"1. I need to buy a bottle of shampoo.（我需要买一瓶洗发水。）
2. She shampooed her hair before the party.（聚会前她洗了头。）
3. This shampoo is suitable for dry hair.（这款洗发水适合干性发质。）"
1888,shatter,基础词 Unit 2,v. 破碎，弄坏,源自中古英语 schateren，与 scatter（分散）相关，联想“破碎后四散开来”。,"1. The glass shattered into a thousand pieces.（玻璃碎成了千片。）
2. The defeat shattered his confidence.（这次失败粉碎了他的信心。）
3. The loud noise shattered the silence of the night.（巨大的噪音打破了夜晚的宁静。）"
1889,shave,基础词 Unit 2,"vt. 剃，刮，削
n. 剃，刮",源自古英语 sceafan，意为刮、削，联想“用刀片刮去胡须”。,"1. He shaves every morning before work.（他每天上班前都刮胡子。）
2. She had a close shave in the traffic accident.（她在交通事故中死里逃生。）
3. The carpenter shaved the edge of the wood.（木匠削平了木头的边缘。）"
1890,shear,基础词 Unit 2,v. 剪，修剪；剥夺,源自古英语 sceran，意为切割、剪断，与 share（分享/分割）同源。,"1. Farmers shear the sheep in the spring.（农民在春天给羊剪毛。）
2. The metal bolt sheared off under pressure.（金属螺栓在压力下断裂了。）
3. The shear force caused the bridge to collapse.（剪切力导致桥梁坍塌。）"
1891,shed,基础词 Unit 2,vt. 流；发出，散发；去除，摆脱；脱落，脱毛，蜕皮,源自古英语 scedan，意为分开、脱落，联想“树木脱落叶子”或“蛇蜕皮”。,"1. The snake sheds its skin periodically.（蛇定期蜕皮。）
2. The trees shed their leaves in autumn.（树木在秋天落叶。）
3. He shed tears of joy at the news.（听到这个消息，他流下了喜悦的泪水。）"
1892,terrible,基础词 Unit 2,adj. 很糟的，极坏的；可怕的，骇人的；极度的，厉害的,源自拉丁语 terrere（使恐惧），加上后缀 -ible，意为“令人恐惧的”。,"1. The weather was terrible yesterday.（昨天天气非常糟糕。）
2. I have a terrible headache.（我头痛得厉害。）
3. It was a terrible mistake to trust him.（信任他是一个严重的错误。）"
1893,terrific,基础词 Unit 2,adj. 极好的，非常的，极度的；很强的，很大的，很多的,源自拉丁语 terrificus（引起恐惧的），后词义演变为“极好的、了不起的”。,"1. You did a terrific job on the project.（你在项目中表现得非常出色。）
2. We had a terrific time at the party.（我们在聚会上玩得很开心。）
3. She has a terrific sense of humor.（她有极好的幽默感。）"
1894,terrify,基础词 Unit 2,v. 使害怕，使惊吓,源自拉丁语 terrere（恐惧）+ facere（做），意为“使人感到恐惧”。,"1. The loud thunder terrified the children.（巨大的雷声吓坏了孩子们。）
2. I am terrified of flying.（我非常害怕坐飞机。）
3. The thought of losing her terrified him.（失去她的念头让他感到恐惧。）"
1895,territory,基础词 Unit 2,n. 领土，版图；领域，范围,源自拉丁语 territorium，与 terra（土地）相关，指受管辖的土地范围。,"1. The animals defend their territory fiercely.（动物们会激烈地保卫它们的领地。）
2. This is disputed territory between the two countries.（这是两国之间有争议的领土。）
3. He is an expert in his field of territory.（他是该领域内的专家。）"
1896,terror,基础词 Unit 2,n. 恐怖，恐慌；可怕的人（事）,源自拉丁语 terror，意为极度的恐惧，常指恐怖主义或极度惊恐。,"1. The people lived in terror of the dictator.（人们生活在独裁者的恐怖统治下。）
2. She screamed in terror when she saw the spider.（看到蜘蛛时，她惊恐地尖叫起来。）
3. The government is fighting against international terror.（政府正在打击国际恐怖主义。）"
1897,textile,基础词 Unit 2,n. 纺织品,源自拉丁语 texere（编织），指编织而成的织物或纺织品。,"1. The textile industry is a major part of the economy.（纺织业是经济的重要组成部分。）
2. They import high-quality textiles from abroad.（他们从国外进口高质量的纺织品。）
3. The factory produces various types of textiles.（这家工厂生产各种类型的纺织品。）"
1898,texture,基础词 Unit 2,n. 物体表面、或物质的质地，外观，皮肤肌理；织物的疏密，松紧；气质，性格，本质，特征,源自拉丁语 textura（编织结构），引申为物体的质地、纹理或触感。,"1. I like the smooth texture of this fabric.（我喜欢这种布料光滑的质地。）
2. The cake has a light and fluffy texture.（这块蛋糕口感轻盈蓬松。）
3. The painting has a rough texture.（这幅画有粗糙的纹理。）"
1899,wash,基础词 Unit 2,"v. 洗，洗涤；海水或河流流动，冲刷
n. 洗，冲洗；要洗的、洗好的衣服，洗涤物",源自古英语 wascan，意为清洗，与水流冲刷的动作相关。,"1. Please wash your hands before dinner.（晚饭前请洗手。）
2. The waves washed the sand away.（海浪冲走了沙子。）
3. This shirt doesn't wash well.（这件衬衫不耐洗。）"
1900,waste,基础词 Unit 2,"v. 浪费；使荒芜
adj. 无用的，废弃的，荒芜的
n. 浪费，废物",源自拉丁语 vastus（荒芜的），引申为浪费、废弃物。,"1. It is a waste of time to argue with him.（和他争论是浪费时间。）
2. We should reduce industrial waste.（我们应该减少工业废料。）
3. Don't waste your money on useless things.（不要把钱浪费在没用的东西上。）"
1901,watch,基础词 Unit 2,"v. 观看，注视；看守，监视
n. 表；看管，监视",源自古英语 wæccan，意为保持清醒、守望，后引申为观看或手表。,"1. I like to watch movies on weekends.（我喜欢在周末看电影。）
2. He checked his watch to see the time.（他看了看手表确认时间。）
3. Please watch your step on the stairs.（走楼梯时请注意脚下。）"
1902,ahead,基础词 Unit 2,adv. 在前，向前;提前,由 a-（在...状态）+ head（头）组成，意为“在头的前面”，即领先、向前。,"1. The road ahead is full of challenges.（前方的道路充满挑战。）
2. He is ahead of his classmates in math.（他在数学方面领先于同学。）
3. We need to plan ahead for the trip.（我们需要为这次旅行提前做计划。）"
1903,air-conditioning,基础词 Unit 2,n. 空气调节系统，空调,由 air（空气）和 conditioning（调节）组成，指对室内空气进行温度、湿度和洁净度的调节。,"1. The air-conditioning in the library is broken.（图书馆的空调坏了。）
2. We need to turn on the air-conditioning to cool down the room.（我们需要打开空调来给房间降温。）
3. Modern buildings are usually equipped with central air-conditioning.（现代建筑通常配备中央空调。）"
1904,aircraft,基础词 Unit 2,n. 航空器，飞机,由 air（空气）和 craft（工艺、飞行器）组成，指在空中航行的器械。,"1. The aircraft landed safely despite the bad weather.（尽管天气恶劣，飞机还是安全着陆了。）
2. The company is developing a new type of military aircraft.（该公司正在研发一种新型军用飞机。）
3. Thousands of aircraft take off from this airport every day.（每天有数千架飞机从这个机场起飞。）"
1905,aisle,基础词 Unit 2,n. 通道，走廊，过道,源自拉丁语 ala（翅膀），引申为教堂侧廊，现指座位间的通道。,"1. Would you prefer an aisle seat or a window seat?（你想要靠过道的座位还是靠窗的座位？）
2. The bride walked down the aisle to the altar.（新娘沿着过道走向祭坛。）
3. Please keep the aisle clear for other passengers.（请保持过道畅通，方便其他乘客通行。）"
1906,alert,基础词 Unit 2,"adj. 警惕的，留神的
n. 警戒状态，警戒期间",源自意大利语 all'erta（在瞭望塔上），引申为警惕、机敏。,"1. The security guard remained alert throughout the night.（保安整晚都保持警惕。）
2. We should be alert to the potential risks of this project.（我们应该对这个项目的潜在风险保持警觉。）
3. The government issued a flood alert for the coastal areas.（政府向沿海地区发布了洪水预警。）"
1907,align,基础词 Unit 2,v. 使成一条直线；对准；校直；使一致,由 a-（向）和 lign（线，源自拉丁语 linea）组成，意为使成一线、对齐。,"1. The results align with our initial expectations.（结果与我们最初的预期相符。）
2. Make sure the text is aligned to the left.（确保文本左对齐。）
3. The company aims to align its strategy with global market trends.（公司旨在使其战略与全球市场趋势保持一致。）"
1908,alike,基础词 Unit 2,"adj. 相同的，相像的
adv. 同样地，一视同仁地",由 a-（前缀，表示状态）和 like（相似）组成，意为相似地、同样地。,"1. The two brothers look very much alike.（这对兄弟长得很像。）
2. The law applies to rich and poor alike.（法律对富人和穷人一视同仁。）
3. They think and act alike in many situations.（在许多情况下，他们的想法和行为都很相似。）"
1909,alive,基础词 Unit 2,adj. 活着的;活跃的，热闹的,由 a-（在...状态）和 live（活着）组成，意为活着的、有活力的。,"1. It is a miracle that he is still alive after the accident.（事故发生后他还能活着简直是个奇迹。）
2. She felt truly alive when she was hiking in the mountains.（当她在山里徒步旅行时，她感到自己真正地活着。）
3. The music kept the party alive until dawn.（音乐让派对一直充满活力直到黎明。）"
1910,algorithm,基础词 Unit 2,n. 算法，运算法则,源自波斯数学家花拉子米（Al-Khwarizmi）的名字，演变为计算规则或算法。,"1. The search engine uses a complex algorithm to rank websites.（搜索引擎使用复杂的算法来对网站进行排名。）
2. We need to optimize the algorithm to improve processing speed.（我们需要优化算法以提高处理速度。）
3. Social media platforms often use algorithms to recommend content.（社交媒体平台经常使用算法来推荐内容。）"
1911,cheat,基础词 Unit 2,v. 欺骗;作弊,源自古法语 eschete（没收财产），后引申为通过欺诈手段获取利益。,"1. He was caught cheating in the final exam.（他在期末考试中作弊被抓住了。）
2. It is unfair to cheat your customers.（欺骗你的顾客是不公平的。）
3. She felt cheated by the false advertisement.（她觉得自己被虚假广告欺骗了。）"
1912,cheque/check,基础词 Unit 2,n. 支票；检查，核实；控制，阻止；抑制；存放；托运；调查，审查；寄存处,源自国际象棋术语 check（将军），意为对账、核对，引申为支票。,"1. I paid for the car by cheque.（我用支票支付了车款。）
2. Please check your answers before handing in the paper.（交卷前请核对你的答案。）
3. The doctor needs to check your blood pressure.（医生需要检查你的血压。）"
1913,chest,基础词 Unit 2,n. 胸腔，胸部;箱，柜,源自希腊语 kistē（箱子），指身体的胸腔，像一个装载器官的箱子。,"1. He felt a sharp pain in his chest.（他感到胸口一阵剧痛。）
2. She kept her old letters in a wooden chest.（她把旧信件保存在一个木箱里。）
3. Deep breathing can help expand your chest.（深呼吸有助于扩张胸腔。）"
1914,chew,基础词 Unit 2,v. 嚼，咀嚼;沉思，考虑,源自古英语 ceowan，拟声词，模拟咀嚼的声音。,"1. You should chew your food thoroughly before swallowing.（吞咽前你应该把食物充分咀嚼。）
2. The dog was chewing on a bone.（那只狗正在啃骨头。）
3. He likes to chew gum while working.（他喜欢在工作时嚼口香糖。）"
1915,chief,基础词 Unit 2,n. 首领，领袖,源自拉丁语 caput（头），意为首领、主要的。,"1. The chief reason for his success is hard work.（他成功的主要原因是努力工作。）
2. She is the chief editor of this magazine.（她是这本杂志的主编。）
3. The police chief announced a new safety policy.（警察局长宣布了一项新的安全政策。）"
1916,childhood,基础词 Unit 2,n. 幼年，童年,由 child（孩子）和 -hood（状态、时期）组成，指童年时期。,"1. He spent his childhood in a small village.（他在一个小村庄度过了童年。）
2. Childhood memories are often the most precious.（童年的记忆往往是最珍贵的。）
3. The book describes the hardships of her childhood.（这本书描述了她童年时期的艰辛。）"
1917,chill,基础词 Unit 2,"n. 寒冷，寒气，寒颤
v. (使)寒冷，(使)变凉",源自古英语 ciele，意为寒冷，引申为冷战、放松。,"1. There is a chill in the air this morning.（今天早上空气中有一丝寒意。）
2. The news sent a chill down my spine.（这个消息让我不寒而栗。）
3. Let's just chill and watch a movie tonight.（今晚我们放松一下，看部电影吧。）"
1918,chorus,基础词 Unit 2,n. 合唱队；歌舞队；合唱；(男)女声(男声)合唱；齐声说或喊的内容,源自希腊语 khoros（舞蹈、合唱队），指合唱或副歌。,"1. The whole audience joined in the chorus.（全场观众一起合唱副歌。）
2. The birds sang in a chorus at dawn.（黎明时分，鸟儿们齐声鸣叫。）
3. The proposal was met with a chorus of disapproval.（该提议遭到了众口一词的反对。）"
1919,chronic,基础词 Unit 2,adj. (疾病)慢性的，(人)长期患病的；长期的；积习难改的；(英口)坏的，严重的,源自希腊语 khronos（时间），意为长期的、慢性的。,"1. He suffers from chronic back pain.（他患有慢性背痛。）
2. The country is facing a chronic shortage of water.（该国正面临长期的水资源短缺。）
3. Chronic stress can have a negative impact on your health.（长期压力会对你的健康产生负面影响。）"
1920,chunk,基础词 Unit 2,n. 厚块；大块；厚片；大量；大部分,词源不详，可联想为 chunk（大块），指大块、相当大的部分。,"1. He cut a large chunk of bread for himself.（他给自己切了一大块面包。）
2. A huge chunk of the budget was spent on research.（预算中很大一部分被花在了研究上。）
3. Break the task into smaller chunks to make it easier.（把任务拆分成小块，这样更容易完成。）"
1921,pin,基础词 Unit 2,"n. 大头针，别针
v. 别住，钉住",源自拉丁语 pinna（羽毛、尖端），指大头针、别针。,"1. She used a pin to fasten her scarf.（她用别针固定住围巾。）
2. Please pin the notice on the bulletin board.（请把通知钉在公告栏上。）
3. He pinned his hopes on winning the lottery.（他把希望寄托在赢彩票上。）"
1922,pinch,基础词 Unit 2,"v. 使紧缺，节约；使不舒服，使为难；捏，拧，夹
n. 捏，拧，夹；(一)撮，少量",源自古法语 pincier，意为掐、捏，引申为紧迫、匮乏。,"1. She pinched my arm to see if I was awake.（她掐了我的胳膊看我是不是醒着。）
2. The shoes are a bit tight and pinch my toes.（这双鞋有点紧，挤得我脚趾疼。）
3. We are feeling the financial pinch this month.（这个月我们感到手头有些拮据。）"
1923,pint,基础词 Unit 2,n. 品脱(液量单位，为1/8加仑),源自古法语 pinte，可能源于拉丁语 picta（有标记的），指容器上刻有容量标记。,"1. He drank a pint of beer at the pub.（他在酒吧喝了一品脱啤酒。）
2. The recipe calls for a pint of milk.（食谱需要一品脱牛奶。）
3. They sell ice cream by the pint.（他们按品脱出售冰淇淋。）"
1924,delegate,基础词 Unit 2,"n. 代表
v. 挑选或委派某人作代表；授权给",源自拉丁语 delegare（委派），de-（离开）+ legare（派遣），指把权力派遣给他人。,"1. The manager must learn to delegate tasks to subordinates.（经理必须学会把任务委派给下属。）
2. She was chosen as a delegate to the national conference.（她被选为全国会议的代表。）
3. The power is delegated to the local authorities.（权力被下放给了地方当局。）"
1925,delete,基础词 Unit 2,vt. 删除,源自拉丁语 delere（擦掉、毁灭），词根 del- 表示消除。,"1. Please delete the unnecessary files from your computer.（请从你的电脑中删除不必要的文件。）
2. He decided to delete the offensive comment.（他决定删除那条冒犯性的评论。）
3. The editor deleted several paragraphs from the manuscript.（编辑从手稿中删除了几个段落。）"
1926,delicious,基础词 Unit 2,adj. 美味的；令人愉快的,源自拉丁语 deliciae（愉悦、美味），与 delight 同源，指给人带来感官上的享受。,"1. The dinner was absolutely delicious.（晚餐非常美味。）
2. She prepared a delicious meal for the guests.（她为客人们准备了一顿美味的饭菜。）
3. The cake has a delicious flavor.（这块蛋糕味道鲜美。）"
1927,delight,基础词 Unit 2,"n. 高兴，快乐；乐事，乐趣
v. 使高兴，使快乐",源自古法语 deliter，最终源于拉丁语 delectare（使高兴），强调极大的快乐。,"1. The children squealed with delight.（孩子们高兴得尖叫起来。）
2. It is a delight to see you again.（很高兴再次见到你。）
3. The show was a delight to watch.（这场演出看起来令人愉悦。）"
1928,elect,基础词 Unit 2,vt. 选举，推选；选择，决定,源自拉丁语 eligere，e-（出来）+ legere（挑选），即挑选出来。,"1. The citizens will elect a new president next month.（公民们下个月将选举一位新总统。）
2. He was elected chairman of the committee.（他被选为委员会主席。）
3. They elected to stay at home instead of going out.（他们选择待在家里而不是出去。）"
1929,electric,基础词 Unit 2,adj. 电的，导电的，电动的,源自希腊语 elektron（琥珀），因为摩擦琥珀会产生静电。,"1. The house has an electric heating system.（这所房子有电加热系统。）
2. There was an electric atmosphere in the stadium.（体育场里的气氛非常紧张刺激。）
3. She plays the electric guitar.（她弹奏电吉他。）"
1930,electrical,基础词 Unit 2,adj. 电的，电学的,源自 electric，后缀 -al 表示与电相关的，常用于指代系统或工程。,"1. He is an electrical engineer.（他是一名电气工程师。）
2. The fire was caused by an electrical fault.（火灾是由电气故障引起的。）
3. We need to check the electrical wiring.（我们需要检查电气线路。）"
1931,electrician,基础词 Unit 2,n. 电学家，电工,源自 electric + -ian（从事某职业的人），指专门从事电气工作的人。,"1. We called an electrician to fix the lights.（我们叫了一位电工来修理灯具。）
2. The electrician checked the fuse box.（电工检查了保险丝盒。）
3. He has been working as an electrician for ten years.（他做电工已经十年了。）"
1932,elevate,基础词 Unit 2,vt. 举起，提高，抬起；使情绪高昂,源自拉丁语 elevare，e-（向上）+ levare（举起），即提升、抬高。,"1. The platform was elevated to provide a better view.（平台被抬高以提供更好的视野。）
2. The news elevated his spirits.（这个消息让他振奋起来。）
3. We need to elevate the standard of education.（我们需要提高教育水平。）"
1933,elevator,基础词 Unit 2,n. 电梯，升降机,源自 elevate + -or（物），即提升人的装置。,"1. Take the elevator to the tenth floor.（乘电梯到十楼。）
2. The elevator is out of order.（电梯坏了。）
3. He waited for the elevator in the lobby.（他在大厅等电梯。）"
1934,eligible,基础词 Unit 2,adj. 符合条件的，合格的,源自拉丁语 eligibilis，意为“可以被挑选的”，即有资格的。,"1. You are eligible for a discount.（你有资格享受折扣。）
2. Only citizens are eligible to vote.（只有公民才有资格投票。）
3. He is an eligible bachelor in the city.（他是城里一位理想的单身汉。）"
1935,eloquent,基础词 Unit 2,adj. 雄辩的，口才流利的，有说服力的,源自拉丁语 eloquens，e-（向外）+ loqui（说话），即能言善辩的。,"1. She gave an eloquent speech at the ceremony.（她在典礼上发表了雄辩的演讲。）
2. His eyes were eloquent of his sadness.（他的眼神流露出他的悲伤。）
3. He is an eloquent speaker.（他是一位口才极好的人。）"
1936,embark,基础词 Unit 2,v. 上船（或飞机、汽车等）；从事，开始工作,源自法语 embarquer，em-（进入）+ barque（船），原意为上船，引申为开始某事。,"1. They embarked on a new journey.（他们踏上了一段新的旅程。）
2. The company is about to embark on a major project.（公司即将着手一个重大项目。）
3. Passengers are requested to embark before sunset.（乘客被要求在日落前登船。）"
1937,embarrass,基础词 Unit 2,vt. 使窘迫，使局促不安,源自法语 embarrasser，原意为“阻碍、困住”，引申为使人陷入尴尬境地。,"1. I didn't want to embarrass him in front of his friends.（我不想当着他朋友的面让他尴尬。）
2. She was embarrassed by her mistake.（她因自己的错误感到尴尬。）
3. The question embarrassed her.（这个问题让她感到难堪。）"
1938,emigrate,基础词 Unit 2,v. 移居外国(或外地区),源自拉丁语 emigrare，e-（离开）+ migrare（迁移），指移居国外。,"1. They decided to emigrate to Canada.（他们决定移民到加拿大。）
2. Many people emigrated during the war.（战争期间许多人移居国外。）
3. He emigrated from his home country at a young age.（他年轻时就离开了祖国。）"
1939,emit,基础词 Unit 2,vt. 使……出来；发出，散发（光、热、电、声音、液体、气味等），发射（电子）,源自拉丁语 emittere，e-（向外）+ mittere（发送），即发出、放射。,"1. The sun emits light and heat.（太阳发出光和热。）
2. The device emits a high-pitched sound.（该装置发出一种尖锐的声音。）
3. Cars emit harmful gases into the atmosphere.（汽车向大气中排放有害气体。）"
1940,empire,基础词 Unit 2,n. 帝国,源自拉丁语 imperium（命令、统治权），指由皇帝统治的领土。,"1. The Roman Empire lasted for centuries.（罗马帝国持续了几个世纪。）
2. He built a business empire from scratch.（他白手起家建立了一个商业帝国。）
3. The empire eventually collapsed.（这个帝国最终崩溃了。）"
1941,empirical,基础词 Unit 2,adj. 以观察或实验为依据的，经验主义的,源自希腊语 empeirikos（经验的），源于 empeiria（经验），指基于观察或实验的。,"1. We need empirical evidence to support the theory.（我们需要经验证据来支持这个理论。）
2. The study is based on empirical data.（这项研究基于实证数据。）
3. Empirical research is crucial in science.（实证研究在科学中至关重要。）"
1942,empty,基础词 Unit 2,"adj. 空的，空洞的，空虚的
v. 把……腾出来，倒空",源自古英语 æmtig（空闲的、空的），指没有内容或人的状态。,"1. The bottle is empty.（瓶子是空的。）
2. He felt empty after his friend left.（朋友离开后，他感到内心空虚。）
3. The streets were empty at midnight.（午夜时分街道空无一人。）"
1943,empathy,基础词 Unit 2,n. 同感，共鸣，同情,源自希腊语 en-（在内）+ pathos（感情），即感同身受。,"1. He has a deep empathy for the suffering of others.（他对别人的苦难有深刻的共情。）
2. Empathy is essential for building strong relationships.（共情对于建立稳固的人际关系至关重要。）
3. She showed great empathy towards the victims.（她对受害者表现出了极大的同情心。）"
1944,fee,基础词 Unit 2,n. “费”→学费,源自古法语 fie，原意为“牲畜、财产”，后演变为支付的费用。,"1. You have to pay a tuition fee to attend the university.（你必须支付学费才能上大学。）
2. The lawyer charged a high fee for his services.（律师为他的服务收取了高额费用。）
3. Are there any hidden fees in this contract?（这份合同里有什么隐藏费用吗？）"
1945,feeble,基础词 Unit 2,adj. 虚弱的，无力的；软弱的，无效的,源自拉丁语 flebilis（可怜的、令人流泪的），引申为虚弱无力的。,"1. He is too feeble to walk without assistance.（他太虚弱了，无法在没有帮助的情况下行走。）
2. The government made a feeble attempt to solve the crisis.（政府为解决危机做出了软弱无力的尝试。）
3. She gave a feeble smile in response.（她回以一个无力的微笑。）"
1946,grief,基础词 Unit 2,n. 忧伤，悲伤；伤心事,源自拉丁语 gravare（加重），指沉重的悲伤。,"1. She was overwhelmed with grief after her father's death.（父亲去世后，她沉浸在巨大的悲痛中。）
2. Time is the best healer for grief.（时间是治愈悲伤的良药。）
3. He expressed his grief in a moving speech.（他在感人的演讲中表达了自己的悲痛。）"
1947,grieve,基础词 Unit 2,v. 悲伤，(使)伤心,源自 grief 的动词形式，意为感到悲伤或使人悲伤。,"1. It is natural to grieve when you lose a loved one.（失去亲人时感到悲伤是很自然的。）
2. The whole nation grieved for the victims of the disaster.（全国人民都为灾难的受害者感到悲痛。）
3. She is still grieving over the loss of her job.（她仍在为失去工作而难过。）"
1948,grin,基础词 Unit 2,v. 露齿而笑，咧着嘴笑,源自古英语 grennian，原意为露齿而笑，联想“咧嘴笑”。,"1. He gave a wide grin when he saw the gift.（看到礼物时，他咧嘴大笑。）
2. She just grinned and said nothing.（她只是咧嘴笑了笑，什么也没说。）
3. The child grinned from ear to ear.（孩子笑得合不拢嘴。）"
1949,grind,基础词 Unit 2,v. 磨，磨碎，碾碎；苦心地教(或学),源自古英语 grindan，意为磨碎，引申为枯燥乏味的工作。,"1. The coffee beans are ground into a fine powder.（咖啡豆被磨成了细粉。）
2. He is tired of the daily grind of office work.（他厌倦了办公室工作的枯燥乏味。）
3. You have to grind hard to succeed in this exam.（为了通过这场考试，你必须刻苦钻研。）"
1950,office,基础词 Unit 2,n. 办公室，办事处；职务，公职；部，局，处,源自拉丁语 officium（职责、服务），即履行职责的地方。,"1. He works in a large office in the city center.（他在市中心的一间大办公室工作。）
2. She is running for public office.（她正在竞选公职。）
3. The office is closed on weekends.（办公室周末不办公。）"
